앰코테크놀로지코리아(주),메모리용 전자집적회로 제조업,23년차,중견기업,"6,362명",2조,56%
혜림건설(주),아파트 건설업,14년차,중견기업,127명,1810억,24%
한국알프스(주),그 외 기타 전기장비 제조업,35년차,"1000대기업,중견기업",787명,7037억,4%
오텍캐리어(주),공기 조화장치 제조업,37년차,중견기업,457명,,
(주)모아종합건설,기타 토목시설물 건설업,,중견기업,103명,2316억,4%
(주)위니아전자,주방용 전기기기 제조업,35년차,대기업,433명,,
(주)연호전자,그 외 기타 전자부품 제조업,40년차,중견기업,91명,1181억,8%
한국프라임제약(주),완제 의약품 제조업,27년차,중견기업,376명,1204억,5%
(주)위니아에이드,"화물운송 중개, 대리 및 관련 서비스업",7년차,중견기업,493명,4185억,35%
케이티네트워크(주),그 외 자동차용 신품 부품 제조업,14년차,중견기업,82명,517억,13%
디케이(주),주형 및 금형 제조업,26년차,중견기업,225명,,
기아타이거즈(주),그 외 기타 스포츠 서비스업,,대기업,48명,,
뉴모텍(주),전동기 및 발전기 제조업,21년차,중견기업,199명,917억,1%
중흥토건(주),토목시설물 건설업,,"대기업,1000대기업",423명,,
수완에너지(주),송전 및 배전업,15년차,중견기업,53명,,
디에스종합건설(주),주거용 건물 개발 및 공급업,10년차,중견기업,102명,3209억,31%
세방산업(주),축전지 제조업,51년차,중견기업,69명,,
금호고속(주),비주거용 부동산 관리업,16년차,대기업,88명,,
기린정밀공업(주),기타제조업,42년차,1000대기업,177명,,
아르네코리아(주),산업용 냉장 및 냉동 장비 제조업,23년차,중견기업,197명,,
한국씨엔티(주),시멘트 제조업,46년차,중견기업,208명,,
(주)해양에너지,연료용 가스 제조 및 배관공급업,,"대기업,1000대기업",227명,,
(주)동희하이테크,그 외 자동차용 신품 부품 제조업,18년차,중견기업,90명,,
(주)리젠시빌주택,아파트 건설업,11년차,대기업,25명,,
(주)케이비씨플러스,공연 기획업,15년차,대기업,81명,,
(주)호남샤니,빵류 제조업,37년차,중견기업,305명,,
이에스텍(주),주형 및 금형 제조업,21년차,중견기업,41명,,
(주)대유글로벌,그 외 자동차용 신품 부품 제조업,8년차,중견기업,273명,,
이노위드(주),그 외 기타 분류 안된 사업지원 서비스업,10년차,대기업,113명,47억,13%
(주)동강홀딩스,운송장비 조립용 플라스틱제품 제조업,20년차,중견기업,75명,401억,17%
(주)프레시원광주,기타 가공식품 도매업,12년차,대기업,70명,,
광주문화방송(주),지상파 방송업,58년차,중견기업,80명,,
(주)한듬레포츠,종합 스포츠시설 운영업,15년차,중견기업,28명,38억,1%
(주)전남일보,신문 발행업,33년차,중견기업,67명,42억,5%
서천산업(주),그 외 자동차용 신품 부품 제조업,,중견기업,16명,234억,21%
(주)모아미래도,아파트 건설업,,"1000대기업,중견기업",10명,416억,65%
(주)모아주택산업,아파트 건설업,36년차,중견기업,31명,1513억,1%
두레청과(주),음ㆍ식료품 및 담배 중개업,19년차,중견기업,31명,110억,12%
더프리미엄효성(주),자동차 신품 판매업,20년차,대기업,83명,,
유진약품(주),의약품 도매업,,중견기업,92명,2138억,14%
아시아문화원,공연 기획업,7년차,1000대기업,100명,,
케이지(주),전세버스 운송업,12년차,대기업,167명,,
(주)케이엔피이노텍,그 외 기타 1차 철강 제조업,13년차,중견기업,23명,,
조양정밀공업(주),자동차용 엔진 제조업,17년차,중견기업,18명,,
중봉건설(주),아파트 건설업,12년차,"대기업,1000대기업",33명,1880억,71%
(주)연호엠에스,그 외 기타 전자부품 제조업,,중견기업,471명,2267억,12%
(주)호남지오영,의약품 도매업,12년차,중견기업,68명,1728억,24%
현대개발(주),레미콘 제조업,,중견기업,32명,286억,17%
(주)남도일보,신문 발행업,16년차,대기업,,,
케이아이(주),비주거용 부동산 관리업,10년차,대기업,131명,56억,9%
(주)선우산업,주거용 건물 개발 및 공급업,20년차,중견기업,8명,,
(주)명선종합건설,주거용 건물 건설업,,중견기업,8명,405억,59%
(주)라인앤프라임,주거용 건물 건설업,8년차,중견기업,5명,1768억,170%
(주)대유금형,주형 및 금형 제조업,13년차,중견기업,53명,224억,13%
티에스건설(주),주거용 건물 개발 및 공급업,11년차,대기업,6명,1101억,2859%
(유)대동 광주공장,전기·전자·제어,,1000대기업,147명,,
(주)우미글로벌,아파트 건설업,21년차,중견기업,36명,,
(주)세종이엔지,토목시설물 건설업,,대기업,21명,1636억,593%
중흥에스클래스(주),주거용 건물 개발 및 공급업,17년차,대기업,30명,,
(주)미래도건설,주거용 건물 개발 및 공급업,9년차,중견기업,50명,,
(주)케이엘홀딩스,경영 컨설팅업,9년차,대기업,1명,,
(주)심우종합건설,주거용 건물 건설업,16년차,중견기업,5명,509억,165%
(주)빛과환경,그 외 기타 분류 안된 화학제품 제조업,,중견기업,11명,2억,40%
철도솔라(주),태양력 발전업,9년차,대기업,,,
(주)한듬,주거용 건물 개발 및 공급업,7년차,중견기업,4명,,
(주)라인개발,비주거용 건물 개발 및 공급업,15년차,중견기업,12명,1980억,123%
(주)심우건설,비주거용 건물 개발 및 공급업,19년차,중견기업,10명,315억,1285%
금호익스프레스(주),전세버스 운송업,2년차,대기업,"1,926명",,
(주)새솔건설,주거용 건물 건설업,10년차,대기업,16명,,
티에스자산개발(주),주거용 건물 개발 및 공급업,11년차,대기업,7명,62억,122%
전방오토(주),중고 자동차 판매업,,중견기업,4명,,
(주)대창이앤티,지주회사,,중견기업,2명,,
티에스주택(주),주거용 건물 개발 및 공급업,11년차,대기업,6명,,
티에스개발(주),주거용 건물 개발 및 공급업,11년차,중견기업,6명,,
세흥산업개발(주),아파트 건설업,11년차,대기업,15명,1322억,1500%
(자)중흥주택,아파트 건설업,,대기업,23명,,
(주)다원개발,주거용 건물 개발 및 공급업,10년차,대기업,14명,590억,140%
티에스리빙(주),주거용 건물 개발 및 공급업,10년차,대기업,5명,1616억,525%
(주)한빛산업개발,"도배, 실내장식 및 내장 목공사업",,대기업,9명,,
(주)정원이엔지,비주거용 건물 임대업,7년차,대기업,14명,,
싱크닥터(주),가전제품 및 부품 도매업,6년차,대기업,6명,23억,123%
(주)우산건설,주거용 건물 개발 및 공급업,19년차,중견기업,10명,,
(주)연합가설산업,그 외 기타 건축자재 도매업,10년차,대기업,6명,12억,78%
제이원건설(주),콘크리트 및 철근 공사업,14년차,대기업,6명,,
미소그린한의원,한의원,,1000대기업,4명,4억,4%
(주)라인하우징,주거용 건물 개발 및 공급업,10년차,중견기업,5명,,
(주)정원가설산업,그 외 기타 건축자재 도매업,,대기업,6명,,
(주)영담,아파트 건설업,6년차,대기업,2명,523억,64%
(주)중흥엔지니어링,도로 건설업,,대기업,21명,,
(주)청원건설산업,아파트 건설업,6년차,대기업,2명,523억,64%
최강병영(주),비주거용 건물 임대업,12년차,대기업,1명,,
평동삼차산단개발(주),기타 부동산 개발 및 공급업,8년차,중견기업,5명,1275억,102%
